Accession	Description	Ctrl_1	Ctrl_2	Ctrl_3	Low_1	Low_2	Low_3	High_1	High_2	High_3
A0A0G2L5U5	Probable helicase with zinc finger domain OS=Danio rerio GN=helz PE=1 SV=1	95.13528742	71.84771248	163.157722	104.8647126	147.4641544	82.05108518	152.5377143	74.0224623	79.64975946
A0A0R4IRW7	Plexin A3 OS=Danio rerio GN=plxna3 PE=4 SV=1	100.4501014	104.6010432	99.28238188	98.60603892	99.48867445	97.86446592	99.5498986	101.4008445	103.9747606
A0A0R4IGD3	DNA (cytosine-5-)-methyltransferase 3 beta, duplicate a OS=Danio rerio GN=dnmt3ba PE=1 SV=1	99.4899076	98.94941523	96.84131802	99.97382065	115.7404762	100.0261793	99.52463978	104.2135458	101.891701
F1Q5I0	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase OS=Danio rerio GN=paics PE=1 SV=1	98.84341795	102.6122598	90.91778685	99.48555063	104.8382134	110.0278106	98.85118516	100.5144494	101.9395974
F1QCK9	Si:dkey-5n18.1 OS=Danio rerio GN=si:dkey-5n18.1 PE=4 SV=1	85.38945617	95.85336119	130.9399287	98.87130155	141.7753588	101.1286984	114.2596134	73.88200318	92.05136441
A0A0R4ILL2	A kinase (PRKA) anchor protein 12b (Fragment) OS=Danio rerio GN=akap12b PE=1 SV=1	103.0321282	117.9884291	78.14958175	96.96787182	89.90800857	109.0560884	81.21416302	116.975009	123.9210699
A0A0G2KQL4	RAP1 GTPase-activating protein OS=Danio rerio GN=rap1gap PE=4 SV=1	96.11093912	141.104349	94.27070598	100.5736836	83.60580767	99.42631644	98.05889395	107.4321416	159.0904185
Q4U0V5	Plexin A3 OS=Danio rerio GN=plxna3 PE=1 SV=1	100.4501014	104.6010432	99.28238188	98.60603892	99.48867445	97.86446592	99.5498986	101.4008445	103.9747606
A3KNW3	Receptor protein-tyrosine kinase OS=Danio rerio GN=si:ch73-383l1.1 PE=3 SV=2	91.40624939	93.57828869	105.5736307	101.1805089	121.8437646	92.41825036	98.81949111	101.5483665	98.00167618
Q90XA7	SR-related CTD-associated factor 4b OS=Danio rerio GN=scaf4b PE=1 SV=1	94.03170536	92.96527755	114.4160395	89.87131642	152.1360636	92.69928891	107.8851579	95.6014958	104.3985042
A3KPW7	Fascin OS=Danio rerio GN=fscn1b PE=1 SV=1	87.91775273	85.00880726	98.90030343	101.1999639	108.5176746	94.75953217	107.1142406	101.5647389	101.0996966
Q7T3C1	Calcium/calmodulin-dependent protein kinase IGb OS=Danio rerio GN=camk1gb PE=3 SV=1	108.0054013	99.37437235	106.6407215	104.9250507	102.9929152	95.1173356	100.6256276	86.82925662	91.03637224
H2EQR5	Si:ch211-114l13.4 OS=Danio rerio GN=si:ch211-114l13.4 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
Q6DI53	RWD domain-containing 4 OS=Danio rerio GN=rwdd PE=4 SV=1	105.8184915	98.7113464	104.2825368	100.6230354	98.48922508	101.3338242	106.0416448	97.36076653	98.23067804
F1R953	Si:ch211-22k7.9 OS=Danio rerio GN=si:ch211-22k7.9 PE=4 SV=1	110.0121039	101.7756352	107.7282463	110.591215	92.59131483	97.63312834	105.6016288	98.22436478	96.54673076
A0A0R4IW30	Si:ch211-15j1.4 OS=Danio rerio GN=si:ch211-15j1.4 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
H0WFH5	Si:dkey-222h21.2 OS=Danio rerio GN=si:dkey-222h21.2 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
Q642I9	Si:dkey-222h21.7 (Fragment) OS=Danio rerio GN=si:dkey-222h21.7 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
F1Q9Q7	Regulating synaptic membrane exocytosis 1b (Fragment) OS=Danio rerio GN=rims1b PE=4 SV=1	75.01792123	93.31065127	85.00699356	68.60295936	33.12671448	106.6893487	138.5000917	137.4866165	133.6327838
A0A076GH28	Si:dkey-222h21.6 (Fragment) OS=Danio rerio GN=si:dkey-222h21.6 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
Q561X2	Si:dkey-240n22.3 OS=Danio rerio GN=si:dkey-240n22.3 PE=4 SV=1	113.9935846	102.6112303	101.5925606	109.6407954	82.62450893	98.88762528	95.66948996	101.1123747	94.20968096
A0A0R4IT16	ELKS/RAB6-interacting/CAST family member 1b (Fragment) OS=Danio rerio GN=erc1b PE=4 SV=1	96.14864822	100.8299915	82.4082341	75.018447	86.69343217	105.3123007	99.77055245	100.2294476	106.2401952
A0A0R4IZR7	Si:dkey-222h21.11 (Fragment) OS=Danio rerio GN=si:dkey-222h21.11 PE=4 SV=1	108.1573149	102.1416065	105.3701837	108.5309298	89.88202833	96.24323921	103.8696841	97.85839347	96.16087847
Q1JPY2	ALX homeobox 4b OS=Danio rerio GN=alx4b PE=4 SV=1	89.82545591	98.14801897	99.94959085	96.09568587	116.6168829	101.8178826	90.27165381	100.779034	100.0504091
A0A0R4IG36	Cytochrome b (Fragment) OS=Danio rerio GN=cytb PE=3 SV=1	103.3061568	107.0020684	98.75695871	103.1515001	72.15356206	101.2430413	82.23501637	106.6219688	92.17011532
Q5RGY5	Cytochrome c oxidase subunit 3 OS=Danio rerio GN=COX3 PE=3 SV=1	98.79767514	70.55441307	109.2982506	108.6314617	110.3419857	101.2023249	83.79013564	63.11939403	76.87435166
E7F8X1	NADH-ubiquinone oxidoreductase chain 1 OS=Danio rerio GN=ND1 PE=3 SV=1	111.570783	107.2000998	119.8912408	112.3372193	75.34125442	95.29017073	97.14827956	101.5639097	89.85223789
E7EZZ0	NADH-ubiquinone oxidoreductase chain 5 OS=Danio rerio GN=ND5 PE=3 SV=1	113.9295908	106.5136458	104.1183916	113.2784785	90.26621576	88.90048001	97.92279385	102.0772061	94.31781929
A1L231	Serine/threonine protein kinase ARAF alt4 OS=Danio rerio GN=araf PE=2 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
Q6DH64	Serine/threonine protein kinase ARAF alt2 OS=Danio rerio GN=araf PE=2 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
Q5U370	Serine/threonine protein kinase ARAF alt1 OS=Danio rerio GN=araf PE=2 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
F1R9F9	Serine/threonine protein kinase ARAF alt5 OS=Danio rerio GN=araf PE=2 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
E7FFI2	Serine/threonine protein kinase ARAF alt3 OS=Danio rerio GN=araf PE=2 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
F1RAM4	EWS RNA-binding protein 1a OS=Danio rerio GN=ewsr1a PE=1 SV=1	102.6538489	105.5198505	82.40632258	97.34615112	67.20723975	107.6595862	93.22579931	105.6967068	107.7377882
Q6DGW6	Insulin-like growth factor 2 mRNA-binding protein 1 OS=Danio rerio GN=igf2bp1 PE=1 SV=1	105.0755814	102.7395253	90.80090297	101.3635157	93.43379072	106.5555599	94.81025672	106.1822402	98.63648435
X1WH50	Secreted immunoglobulin domain 4 OS=Danio rerio GN=sid4 PE=4 SV=1	99.87830026	101.162831	90.62452651	100.1216997	104.7205389	100.5453368	84.94428219	103.6752561	94.86927036
F1R067	Insulin-like growth factor 2 mRNA-binding protein 2a OS=Danio rerio GN=igf2bp2a PE=1 SV=1	92.67790004	91.03913552	104.0931029	99.96049998	101.2300465	100.4301661	110.3112881	100.0395	99.00872621
Q7ZV49	A-Raf proto-oncogene, serine/threonine kinase OS=Danio rerio GN=araf PE=1 SV=1	103.5063774	110.7231048	81.5393755	96.49362256	85.15015995	120.0051809	83.89182675	124.1511516	123.2927139
Q6NYV5	Core binding factor beta subunit isoform 1 OS=Danio rerio GN=cbfb PE=2 SV=1	94.41140756	93.08511462	98.16493318	90.05864586	113.2393629	101.8350668	105.4277267	94.87797511	103.778161
E9QJI8	Core binding factor beta subunit isoform 3 OS=Danio rerio GN=cbfb PE=2 SV=1	95.4333317	94.10829164	96.61227339	88.77874047	115.2904234	103.3877266	105.4500829	96.20629557	105.0351838
Q6TH07	Core binding factor beta subunit isoform 2 OS=Danio rerio GN=cbfb PE=2 SV=1	97.7169094	96.36851946	88.77798838	90.48028939	104.1033288	116.2459219	94.24944432	102.2830906	108.0435414
A0A0R4IY34	Core binding factor beta subunit isoform 7 OS=Danio rerio GN=cbfb PE=2 SV=1	102.2951352	83.32371169	120.9472246	94.33005476	134.0429242	97.59091534	126.202328	83.73865202	97.70486484
F1R737	Core binding factor beta subunit isoform 5 OS=Danio rerio GN=cbfb PE=2 SV=1	95.95078314	100.6548469	86.37628799	86.92003962	109.5030159	108.9117781	99.3451531	102.01493550000001	111.9521918
P86839	Core binding factor beta subunit isoform 9 OS=Danio rerio GN=cbfb PE=2 SV=1	94.41140756	93.08511462	98.16493318	90.05864586	113.2393629	101.8350668	105.4277267	94.87797511	103.778161
Q6NWG5	Core binding factor beta subunit isoform 10 OS=Danio rerio GN=cbfb PE=2 SV=1	95.4333317	94.10829164	96.61227339	88.77874047	115.2904234	103.3877266	105.4500829	96.20629557	105.0351838
F1R034	Core binding factor beta subunit isoform 11 (Fragment) OS=Danio rerio GN=cbfb PE=2 SV=1	94.5039184	98.0006734	91.52113209	89.89273821	107.643018	105.5873182	100.986525	99.01347498	108.8686201
E9QCH4	Kinesin-like protein (Fragment) OS=Danio rerio PE=2 SV=1	111.3538395	99.70519868	117.681861	98.99259968	129.0860847	100.2948013	97.21434012	96.87689899	94.84554837
A0A1X9RK82	Kif5b-like protein short isoform (Fragment) OS=Danio rerio PE=2 SV=1	111.3538395	99.70519868	117.681861	98.99259968	129.0860847	100.2948013	97.21434012	96.87689899	94.84554837
F1QEP5	Matn4 (Fragment) OS=Danio rerio GN=matn4 PE=2 SV=1	118.6262395	119.7948213	107.3535778	120.3065599	120.106309	87.13972473	88.63626571	89.61482037	92.64642222
A0A0R4IDZ8	Hedgehog protein (Fragment) OS=Danio rerio GN=shha PE=2 SV=1	82.99777916	85.92401217	107.2819015	79.63542473	102.8946583	91.66106341	115.720023	98.4556924	101.5443076
F1R7N4	Manf (Fragment) OS=Danio rerio GN=manf PE=2 SV=1	108.0148323	106.0085497	82.5436376	100.0660658	69.9925931	107.9925332	78.11913246	99.93393424	105.0709178
I3ITH5	Pcdh17 (Fragment) OS=Danio rerio GN=pcdh17 PE=2 SV=1	89.1680651	99.09114695	107.4052636	106.4988591	127.2083261	95.61627972	100.9088531	92.80715947	95.00335485
B3DI91	Efnb2a (Fragment) OS=Danio rerio GN=efnb2a PE=1 SV=1	90.40166264	115.8594138	90.4136075	98.73597628	71.37807467	106.2967901	101.2640237	113.0407244	105.5710152
Q0P414	Tnw (Fragment) OS=Danio rerio GN=tnn PE=2 SV=1	109.0551699	101.2543781	100.2534405	103.8305052	115.7741032	95.35636177	98.63669218	99.74655947	93.00239015
B8JL30	Hapln1 (Fragment) OS=Danio rerio GN=hapln1a PE=2 SV=1	99.34903172	106.0860792	83.92610386	102.6128236	95.28378472	108.3670722	75.27911196	105.7691189	100.6509683
B2GS03	Plxna3 (Fragment) OS=Danio rerio GN=plxna3 PE=2 SV=1	108.0693246	111.3688784	102.0548658	113.1733116	100.5129072	79.7469661	90.88843208	97.18113586	99.48709281
Q6PHF0	Uncharacterized protein (Fragment) OS=Danio rerio GN=si:ch211-251b21.1 PE=2 SV=1	107.7212214	108.3680274	109.3003441	109.0928712	101.7404816	98.25951835	90.01692054	90.61776766	96.15808821
E7EZ04	Mdkb (Fragment) OS=Danio rerio GN=mdkb PE=1 SV=1	106.8557295	92.16883345	110.9354786	93.14427047	77.90185172	108.6194391	113.5770352	107.3374621	92.25273051
A1L1T1	Cdh2 (Fragment) OS=Danio rerio GN=cdh2 PE=2 SV=1	100.5766163	94.16907418	99.27461975	92.85664658	101.4950669	99.63558926	103.9928151	100.3644107	96.80171298
A0A0R4IFF1	Nrp1b (Fragment) OS=Danio rerio GN=nrp1b PE=2 SV=1	92.16554621	103.6657394	88.99317701	99.16252388	100.8374761	78.90212511	136.9353179	109.9455009	93.064045
Q6NY34	Pcdh10a (Fragment) OS=Danio rerio GN=pcdh10a PE=2 SV=1	98.16578831	101.8342117	145.7572302	109.7622008	163.2921653	92.05674542	121.8834157	91.22519747	92.25820882
A0A0R4IT43	Calr (Fragment) OS=Danio rerio GN=calr PE=2 SV=1	110.1266027	106.3338387	73.16470566	99.06788424	70.31104743	111.9852809	68.42084491	101.8078068	100.9321158
E9QD65	Nrp1a (Fragment) OS=Danio rerio GN=nrp1a PE=2 SV=1	95.54562065	89.56252858	125.1213596	100.6530763	150.6748978	99.34692375	130.0164395	99.14118761	95.09163644
A0A0H2UKW5	Vwde (Fragment) OS=Danio rerio GN=vwde PE=2 SV=1	106.3787781	103.369903	113.3638746	99.12864215	87.23857739	81.78759488	106.6673546	79.5353591	81.28313571
Q5TYR4	Gpc1b (Fragment) OS=Danio rerio GN=gpc1b PE=2 SV=1	104.8822381	109.5404047	92.32791748	103.501022	76.47036719	99.10432034	85.00769995	96.56963138	100.8956797
F1R952	Calr3a (Fragment) OS=Danio rerio GN=calr3a PE=2 SV=1	107.2201098	108.8630868	79.50464159	98.62132326	76.00525245	101.3786767	81.23274409	105.7652259	101.9622663
Q91398	Sparc (Fragment) OS=Danio rerio GN=sparc PE=2 SV=1	108.7570134	98.34233076	99.05747227	102.4935054	111.5180825	100.9425277	94.12305717	95.12564306	97.74076272
Q4U0S1	Clusterin (Fragment) OS=Danio rerio GN=clu PE=2 SV=1	109.5839116	86.35159098	103.6854259	103.2982974	121.5006849	96.70170264	94.08814792	87.05242748	106.8224543
A9JTC2	Mdka (Fragment) OS=Danio rerio GN=mdka PE=1 SV=1	104.0454288	100.8871338	84.46735891	99.11286618	92.71705969	111.9317467	81.79486502	114.835222	110.7867354
H0WEJ5	Cspg4 (Fragment) OS=Danio rerio GN=cspg4 PE=2 SV=1	96.94095406	101.3794279	100.594109	100.43161	110.7823455	97.29730356	99.01520458	99.56839002	99.41666044
A3KNA6	Efnb3b (Fragment) OS=Danio rerio GN=efnb3b PE=1 SV=1	100.0959936	123.5212528	79.46461181	99.9040064	95.16117881	102.9418579	78.76267977	108.7285705	126.8518193
A0A0R4IZV4	Rnaset2 (Fragment) OS=Danio rerio GN=rnaset2 PE=2 SV=1	102.9701885	70.93671634	118.8326669	97.02981148	105.2615212	90.04269489	130.7235751	68.67246518	86.43920569
Q8UVJ6	Beta-defensin (Fragment) OS=Danio rerio GN=defbl1 PE=2 SV=1	111.3830978	114.3442585	100.4080762	93.47548654	119.632301	95.4154701	96.9973403	99.5340679	99.5919238
F1QUS3	Calr3b (Fragment) OS=Danio rerio GN=calr3b PE=2 SV=1	110.8327645	110.3914702	81.93968069	100.3271281	91.1316423	105.1456293	78.68867917	99.67287191	101.3514828
Q9PUC5	Fstl1a (Fragment) OS=Danio rerio GN=fstl1a PE=2 SV=1	100.0622804	99.90982285	90.98920322	99.93771959	109.0044993	90.49980417	96.61036412	114.0353925	104.8609001
F1Q9X8	Cspg4 (Fragment) OS=Danio rerio GN=cspg4 PE=2 SV=1	96.85863933	100.9919001	101.5118782	100.2309556	113.6497306	97.2323598	99.76904439	98.52788522	98.83491156
A2BGP8	Creld2 (Fragment) OS=Danio rerio GN=creld2 PE=2 SV=1	107.9139433	104.1799576	81.54244218	96.93196534	87.09894162	110.0434741	82.97816108	103.0680347	103.1827588
A0A0R4ISL7	Nrp2b (Fragment) OS=Danio rerio GN=nrp2b PE=2 SV=1	93.25509083	94.00726078	98.49693369	95.41978844	104.6948984	101.5030663	98.09073303	101.5073033	102.7142884
E9QCS7	Uncharacterized protein (Fragment) OS=Danio rerio GN=Zgc:110239 PE=2 SV=1	106.5604654	108.7312207	90.40398615	101.4711026	99.61267545	97.27289761	81.01978843	100.3873245	105.8540537
A0A0R4ID75	C8a (Fragment) OS=Danio rerio GN=c8a PE=2 SV=1	82.14098491	92.12793	105.9926637	96.01006116	113.5643312	90.53973711	110.8500561	103.9899388	91.70432756
A9JTF3	Ephb3a (Fragment) OS=Danio rerio GN=ephb3a PE=2 SV=1	99.96811217	100.3734098	93.43488399	102.2623489	92.59984563	104.4416594	100.0318878	108.0506945	95.19187617
Q6PC10	Uncharacterized protein (Fragment) OS=Danio rerio GN=afp4 PE=2 SV=1	109.4071951	101.966943	77.07012726	98.23425192	72.79847666	101.7657481	65.01277302	118.7140237	102.6768729
A0A0R4IGP6	Spon1a (Fragment) OS=Danio rerio GN=spon1a PE=2 SV=1	97.72991867	100.5493761	99.31917746	97.31159745	99.45062394	103.7634309	101.1503825	99.22922388	103.5220965
Q9DEU0	Tgfbi (Fragment) OS=Danio rerio GN=tgfbi PE=2 SV=1	99.47849253	105.3584438	95.79367646	100.5215075	85.89075384	100.6913517	86.93840189	111.922183	101.1070524
A0A0G2L7T9	Calua (Fragment) OS=Danio rerio GN=calua PE=1 SV=1	106.415471	107.051532	96.58983156	104.114535	102.8344528	101.2653919	91.16732524	97.29823359	98.73460812
Q6NUU3	Pcdh10b (Fragment) OS=Danio rerio GN=pcdh10b PE=2 SV=1	98.16578831	101.8342117	145.7572302	109.7622008	163.2921653	92.05674542	121.8834157	91.22519747	92.25820882
A3KQS5	Nenf (Fragment) OS=Danio rerio GN=nenf PE=2 SV=1	94.3474059	99.43217131	98.03458518	94.12226628	111.9512696	103.9400241	102.4372633	100.5678287	103.7050567
E7EYF3	Slc22a7a (Fragment) OS=Danio rerio GN=slc22a7a PE=2 SV=1	98.52642178	107.576725	94.81135572	92.53876916	103.4364009	101.6269157	98.35812758	115.1837235	101.4735782
E7FG81	Uncharacterized protein (Fragment) OS=Danio rerio GN=Wu:fc46h12 PE=1 SV=1	109.7404495	103.3470401	105.0349533	109.9868426	114.6606485	96.65295993	95.7674074	90.8625487	89.01497907
Q6PBQ4	Spon1b (Fragment) OS=Danio rerio GN=spon1b PE=2 SV=1	95.31696335	101.0940498	97.54696487	98.05363674	97.83703902	100.5982309	99.40176915	104.0320233	109.0589586
A9JT13	Cntn2 (Fragment) OS=Danio rerio GN=cntn2 PE=2 SV=1	94.86791354	52.55319868	70.37358581	89.51168139	87.25672111	124.0102301	117.857837	105.1320865	110.3428858
F1QG51	Pmelb (Fragment) OS=Danio rerio GN=pmelb PE=2 SV=1	89.69274163	91.96139586	103.6774201	97.46741872	116.7636576	99.96705018	100.0329498	98.75423064	104.8808873
X1WCV4	Dhx37 protein OS=Danio rerio GN=dhx37 PE=2 SV=1	91.03430966	129.773028	80.1679691	92.55210336	105.1326563	92.58310499	94.86734371	114.1891193	134.8341713
Q0P3Z3	Minichromosome maintenance complex component 7 (Fragment) OS=Danio rerio GN=mcm7 PE=4 SV=3	97.33991107	97.91948189	106.8897654	95.41826353	121.9413882	101.902687	112.4454395	98.09731295	89.15136685
E7FFF7	DNA helicase OS=Danio rerio GN=mcm6 PE=2 SV=1	103.213248	102.7193429	92.08551545	98.8474288	93.23915961	107.8588633	94.93415752	109.040141	101.1525712
Q90ZZ7	DNA helicase OS=Danio rerio GN=mcm3 PE=2 SV=1	95.42979572	92.26224263	98.40603278	94.84339716	101.5939672	104.1497922	110.7230968	102.0960942	89.32862792
Q5CZM1	Adenylate kinase 2, mitochondrial OS=Danio rerio GN=ak2 PE=1 SV=1	106.6140427	109.8385602	102.6488081	102.418535	105.2617991	92.9989759	97.29950428	96.49898338	97.58146502
Q6NYF4	IQGAP2 protein OS=Danio rerio GN=iqgap2 PE=2 SV=1	96.8524056	78.59241487	127.0722771	116.2923992	95.46057641	111.7931217	119.4690018	70.54343897	88.7000312
F1R9N6	IQGAP1 protein OS=Danio rerio GN=iqgap1 PE=2 SV=1	100.9180214	123.34229	90.06649039	106.1524332	99.08197857	106.7575282	90.43873895	120.1581195	98.7085507
F1Q5V4	IQGAP3 protein OS=Danio rerio GN=iqgap3 PE=2 SV=1	93.876931	107.7769849	85.10136988	95.73285158	102.2681094	110.5261499	85.49719658	109.8413664	115.4940314
A2BGW3	Protein phosphatase 4 regulatory subunit 3B OS=Danio rerio PE=1 SV=1	87.62643149	93.800496	112.8199931	84.65357642	111.9556179	111.3061456	106.199504	85.45435955	90.79976513
Q7ZTS0	ARP3 actin-related protein 3 homolog OS=Danio rerio GN=actr3 PE=1 SV=1	109.6478585	114.8418703	98.80779286	102.2704456	114.6686556	99.59104237	90.73257349	99.72229759	100.2777024
A0A0R4IEU0	Uncharacterized protein OS=Danio rerio PE=4 SV=1	108.4012474	101.1020329	102.8040078	107.9909485	87.01791268	97.49874052	101.3410071	98.89796714	97.63443017
Q7ZUQ3	Kelch repeat and BTB (POZ) domain-containing 11 OS=Danio rerio GN=kbtbd11 PE=4 SV=1	100.470253	83.57865908	140.3160561	88.51465328	136.2596901	80.96714384	115.9361045	71.62157599	99.52974695
B3DJN9	Spermatogenesis associated 5 OS=Danio rerio PE=1 SV=1	101.6969339	89.56470221	120.5062035	98.30306612	103.6682136	89.38883324	116.8482577	86.09598027	81.08205935
B0S5Q2	Euchromatic histone-lysine N-methyltransferase 2 OS=Danio rerio GN=ehmt2 PE=1 SV=1	100.1409671	82.08673438	97.48429014	99.85903293	111.6921808	101.0911563	114.3727507	89.05510471	87.53807198
B3DJW1	Transporter OS=Danio rerio GN=slc6a6b PE=3 SV=1	109.8289359	111.5784934	100.8179242	111.6097791	99.18207577	92.35660741	84.07426077	92.55724977	102.4484678
Q8AXX6	Damage-specific DNA-binding protein 1 (Fragment) OS=Danio rerio GN=ddb1 PE=1 SV=1	105.8863907	104.4003494	95.02441578	101.7607146	100.3524414	101.5980138	90.01764495	99.64755863	99.17982099
F8W3J3	Uncharacterized protein OS=Danio rerio PE=1 SV=1	99.62410815	111.9291362	81.5767888	100.3758919	82.50190806	101.4850826	79.98430696	108.7030267	107.5784065
A7MBY4	Uncharacterized protein OS=Danio rerio PE=4 SV=1	104.9075705	95.43307634	102.8998224	108.01234	88.62993902	97.10017763	104.0808253	94.91193516	96.97794594
F1Q7K3	Uncharacterized protein OS=Danio rerio PE=1 SV=1	91.6706947	97.23433096	102.2366024	86.3802497	100.4069697	99.59303028	96.1224499	102.6909394	101.9788232
F1QVD2	Uncharacterized protein OS=Danio rerio PE=4 SV=1	169.2661998	159.9652651	101.9825101	131.6073411	78.4862119	94.34595871	73.26546925	98.01748993	97.41708414
Q4QRI0	Doublecortin-like kinase 2a OS=Danio rerio GN=dclk2a PE=1 SV=1	80.07749533	87.29591643	99.86926599	81.29943116	107.3475237	100.179544	102.8389032	100.130734	92.30348537
Q6PYX3	Uncharacterized protein OS=Danio rerio GN=LOC101883779 PE=4 SV=1	169.2661998	159.9652651	101.9825101	131.6073411	78.4862119	94.34595871	73.26546925	98.01748993	97.41708414
A0A0R4J6S2	Si:ch211-43f4.1 OS=Danio rerio GN=si:ch211-43f4.1 PE=1 SV=1	100.2414995	85.71819345	130.7639679	99.75850052	127.1148464	93.35956702	142.14359580000001	87.30883156	85.98328788
A3KPV0	Uncharacterized protein OS=Danio rerio PE=4 SV=1	74.85950388	89.84703488	112.2848949	92.82082184	89.46342917	93.05006782	106.9499322	117.1176166	110.3931829
F1RCG6	Uncharacterized protein OS=Danio rerio GN=LOC100536609 PE=4 SV=1	169.2661998	159.9652651	101.9825101	131.6073411	78.4862119	94.34595871	73.26546925	98.01748993	97.41708414
A0A0R4IEY7	WD repeat domain 48a OS=Danio rerio GN=wdr48a PE=4 SV=1	95.07036993	94.75342898	103.1557515	94.92734743	115.9329651	96.75168577	113.3317849	96.84424846	107.3518605
F6NX00	Uncharacterized protein OS=Danio rerio PE=4 SV=1	99.30188768	86.75502515	117.000049	100.6981123	136.7715258	90.07957256	108.9252747	86.95533077	87.18228904
Q6DEI8	Glutamine--fructose-6-phosphate transaminase 1 OS=Danio rerio GN=gfpt1 PE=1 SV=1	99.67183683	107.4389506	92.19080518	100.3281632	104.6638917	97.6243994	86.72344605	101.3414809	103.9179322
F1QQ92	Uncharacterized protein OS=Danio rerio PE=1 SV=1	98.28344763	97.0115986	91.02711098	101.7165524	88.93444607	109.5054519	107.6175561	104.7983733	98.00141435
A0A0R4IUT4	Uncharacterized protein OS=Danio rerio GN=gnal2 PE=4 SV=1	78.17641455	87.30744671	116.9719594	99.91232368	136.5174709	98.24544197	98.83509574	100.0876763	100.1488714
E9QID6	Uncharacterized protein OS=Danio rerio PE=4 SV=1	94.21521937	100.5137199	81.22160094	103.7012665	76.68368118	122.0639725	84.72042402	113.9888626	99.53098811
Q568A7	ADP-ribosylation factor 4b OS=Danio rerio GN=arf4b PE=3 SV=1	125.6278689	102.0657546	103.9971716	108.1428906	114.3340102	86.26454208	96.41916217	97.93424539	89.26839382
I3ISW2	Doublecortin-like kinase 2b OS=Danio rerio GN=dclk2b PE=4 SV=1	93.44013464	101.224959	91.02647893	97.7473019	102.3076685	100.2344395	91.40640077	99.76556049	106.0804094
